list_name,author,weeks
"Advice, How-To & Miscellaneous","DAVID GOGGINS",66
Animals,"SY MONTGOMERY",73
"Audio Fiction","BARBARA KINGSOLVER",65
"Audio Nonfiction","LORI GOTTLIEB",49
Business,"RAMIT SETHI",176
Celebrities,"JUDD APATOW",31
"Children's & Young Adult Series","LOIS LOWRY",175
"Children's Chapter Books","HANNAH DOLAN",23
"Children's Chapter Books","BECCA FITZPATRICK",23
"Children's Middle Grade","VALORIE SCHAEFER",123
"Children's Middle Grade E-Book","CASEY SHERMAN",2
"Children's Middle Grade E-Book","STUART MOORE",2
"Children's Middle Grade E-Book","STAN LEE",2
"Children's Middle Grade E-Book","KATE MILFORD",2
"Children's Middle Grade E-Book","LAURIE HALSE ANDERSON",2
"Children's Middle Grade E-Book","MICHAEL J TOUGIAS",2
"Children's Middle Grade Hardcover","RACHEL IGNOTOFSKY",94
"Children's Middle Grade Paperback","VALORIE SCHAEFER",55
"Children's Paperback Books","TRENTON LEE STEWART",49
"Children's Picture Books","HERVE TULLET",274
"Combined Hardcover & Paperback Fiction","ABRAHAM VERGHESE",49
"Combined Hardcover & Paperback Nonfiction","NATHAN WHITAKER",35
"Combined Print & E-Book Fiction","ABRAHAM VERGHESE",64
"Combined Print & E-Book Nonfiction","ROBIN WALL KIMMERER",119
"Combined Print Fiction","NALINI SINGH",7
"Combined Print Fiction","EMMA DONOGHUE",7
"Combined Print Fiction","ABRAHAM VERGHESE",7
"Crime and Punishment","WILLIAM DOYLE",34
Culture,"ROXANE GAY",56
"E-Book Fiction","BARBARA FREETHY",61
"E-Book Nonfiction","MIKLOS NYISZLI",40
Education,"JORDAN ELLENBERG",61
Espionage,"KAREN ABBOTT",69
Expeditions,"NATHANIEL PHILBRICK",70
"Fashion, Manners and Customs","THE STAFF OF POTTER STYLE",82
"Food and Diet","HAYLIE POMROY",122
"Games and Activities","PAUL SOARES, JR",131
"Games and Activities","STEPHANIE MILTON",131
"Graphic Books and Manga","KOYOHARU GOTOUGE",132
"Hardcover Advice & Misc.","ANN VOSKAMP",59
"Hardcover Business Books","BARRY CONCHIE",85
"Hardcover Business Books","TOM RATH",85
"Hardcover Fiction","BARBARA KINGSOLVER",108
"Hardcover Graphic Books","BRIAN AZZARELLO",53
"Hardcover Nonfiction","CHRISTOPHER MCDOUGALL",91
Health,"MICHAEL GREGER",31
Humor,"JUDD APATOW",35
"Indigenous Americans","TIMOTHY EGAN",30
"Love and Relationships","BOB GOFF",58
Manga,"TAKESHI OBATA",41
"Mass Market","WILLIAM W JOHNSTONE",333
"Middle Grade Paperback","ROSANNE PARRY",237
"Paperback Advice & Misc.","ECKHART TOLLE",205
"Paperback Business Books","GEORGE BEAHM",26
"Paperback Business Books","DAN ARIELY",26
"Paperback Graphic Books","DAVID LLOYD",74
"Paperback Mass-Market Fiction","LISA JACKSON",153
"Paperback Nonfiction","ROBIN WALL KIMMERER",286
"Paperback Trade Fiction","PAULO COELHO",434
"Parenthood and Family","DANIEL J SIEGEL",67
"Parenthood and Family","TINA PAYNE BRYSON",67
Politics,"ANNIE JACOBSEN",4
Politics,"HOWARD E WASDIN",4
Politics,"ADAM HOCHSCHILD",4
Politics,"ERIC GREITENS",4
Politics,"DAVID MAMET",4
Politics,"TED STEWART",4
Politics,"STEPHEN TEMPLIN",4
Politics,"ADAM GOODHEART",4
Politics,"HENRY KISSINGER",4
"Politics and American History","KATHERINE BOO",42
"Race and Civil Rights","WES MOORE",95
"Religion, Spirituality and Faith","ECKHART TOLLE",92
Science,"ELIZABETH KOLBERT",73
"Sports and Fitness","CHRISTOPHER MCDOUGALL",99
Travel,"PATRICK SMITH",39
"Young Adult","DAVID LEVITHAN",20
"Young Adult E-Book","SARA RAASCH",4
"Young Adult Hardcover","ELIZABETH ACEVEDO",60
"Young Adult Paperback","TILLIE COLE",86
