list_name,author,weeks_at_1
"Advice, How-To & Miscellaneous","JAMES CLEAR",108
Animals,"HELEN MACDONALD",61
"Audio Fiction","DELIA OWENS",78
"Audio Nonfiction","MATTHEW MCCONAUGHEY",35
"Audio Nonfiction","MICHELLE OBAMA",35
"Audio Nonfiction","MALCOLM GLADWELL",35
Business,"JAMES CLEAR",235
Celebrities,"AMY POEHLER",25
"Children's & Young Adult Series","JEFF KINNEY",176
"Children's Chapter Books","RICK RIORDAN",48
"Children's Middle Grade","R J PALACIO",92
"Children's Middle Grade E-Book","RICK RIORDAN",43
"Children's Middle Grade Hardcover","R J PALACIO",202
"Children's Middle Grade Paperback","KATHERINE APPLEGATE",38
"Children's Paperback Books","MARKUS ZUSAK",68
"Children's Picture Books","DREW DAYWALT",87
"Combined Hardcover & Paperback Fiction","E L JAMES",26
"Combined Hardcover & Paperback Nonfiction","TODD BURPO",24
"Combined Hardcover & Paperback Nonfiction","LYNN VINCENT",24
"Combined Print & E-Book Fiction","JAMES PATTERSON",57
"Combined Print & E-Book Nonfiction","BILL O'REILLY",63
"Combined Print Fiction","JAMES PATTERSON",7
"Combined Print Fiction","MICHAEL LEDWIDGE",7
"Crime and Punishment","ERIK LARSON",26
Culture,"JEREMY MCCARTER",35
Culture,"LIN-MANUEL MIRANDA",35
"E-Book Fiction","JAMES PATTERSON",35
"E-Book Nonfiction","MARTIN DUGARD",32
"E-Book Nonfiction","BILL O'REILLY",32
Education,"MALALA YOUSAFZAI",65
Education,"CHRISTINA LAMB",65
Espionage,"BEN MACINTYRE",18
Expeditions,"DAVID MCCULLOUGH",53
"Fashion, Manners and Customs","WEDNESDAY MARTIN",31
"Food and Diet","DALLAS HARTWIG",44
"Food and Diet","MELISSA HARTWIG",44
"Games and Activities","ILLUSTRATED BY JOHANNA BASFORD",40
"Graphic Books and Manga","DAV PILKEY",199
"Hardcover Advice & Misc.","STEVE HARVEY",24
"Hardcover Advice & Misc.","DENENE MILLNER",24
"Hardcover Business Books","WALTER ISAACSON",36
"Hardcover Fiction","JAMES PATTERSON",82
"Hardcover Graphic Books","ALAN MOORE",44
"Hardcover Nonfiction","BILL O'REILLY",69
Health,"PAUL KALANITHI",48
Humor,"AMY POEHLER",31
"Indigenous Americans","BOB DRURY",39
"Indigenous Americans","TOM CLAVIN",39
"Love and Relationships","GARY CHAPMAN",56
Manga,"MASASHI KISHIMOTO",84
"Mass Market","DANIELLE STEEL",100
"Middle Grade Paperback","KATHERINE APPLEGATE",120
"Paperback Advice & Misc.","GARY CHAPMAN",52
"Paperback Business Books","MALCOLM GLADWELL",90
"Paperback Graphic Books","ROBERT KIRKMAN",99
"Paperback Mass-Market Fiction","NICHOLAS SPARKS",50
"Paperback Nonfiction","BESSEL VAN DER KOLK",176
"Paperback Trade Fiction","COLLEEN HOOVER",99
"Parenthood and Family","SHARON MAZEL",42
"Parenthood and Family","HEIDI MURKOFF",42
Politics,"ERIK LARSON",4
"Politics and American History","MARTIN DUGARD",76
"Politics and American History","BILL O'REILLY",76
"Race and Civil Rights","TA-NEHISI COATES",70
"Religion, Spirituality and Faith","SARAH YOUNG",17
Science,"YUVAL NOAH HARARI",53
"Sports and Fitness","DANIEL JAMES BROWN",83
Travel,"CHERYL STRAYED",49
"Young Adult","JOHN GREEN",82
"Young Adult E-Book","RICK YANCEY",14
"Young Adult Hardcover","ANGIE THOMAS",102
"Young Adult Paperback","LAURA NOWLIN",106
