list_name,avg_weeks_at_1
"Paperback Business Books",27.5000
"Race and Civil Rights",21.6000
"Indigenous Americans",21.5000
Education,20.6667
Science,16.5500
"Middle Grade Paperback",16.3684
"Games and Activities",16.3333
Business,16.2791
Expeditions,16.1250
"Food and Diet",15.8125
"Parenthood and Family",15.1667
"Sports and Fitness",14.5833
"Hardcover Business Books",14.3636
"Young Adult Paperback",14.2143
"Combined Print Fiction",14.0000
"Love and Relationships",13.1000
Culture,12.6923
"Paperback Nonfiction",11.8352
Travel,11.5833
Animals,11.4545
"Graphic Books and Manga",11.3929
Health,11.3636
"Audio Nonfiction",10.8605
"Politics and American History",10.5556
Humor,10.2857
"Crime and Punishment",10.0000
Celebrities,9.7059
"Children's Middle Grade Paperback",8.6667
"Children's Middle Grade",8.5000
"Religion, Spirituality and Faith",8.2941
Espionage,8.2667
"Audio Fiction",7.9804
"Young Adult",7.7778
"Fashion, Manners and Customs",7.2222
"Children's Middle Grade Hardcover",7.0500
"Children's Paperback Books",6.7353
"Combined Hardcover & Paperback Nonfiction",6.4643
"Paperback Advice & Misc.",5.9400
"Paperback Graphic Books",5.8929
"Mass Market",5.8065
"Paperback Trade Fiction",5.6013
"Children's & Young Adult Series",5.2544
"Children's Picture Books",4.9130
"Children's Chapter Books",4.4545
"Hardcover Advice & Misc.",4.4091
"Advice, How-To & Miscellaneous",4.2952
"Young Adult Hardcover",4.2028
"Children's Middle Grade E-Book",4.1667
Politics,4.0000
"Hardcover Graphic Books",3.8415
"E-Book Nonfiction",3.7250
"Hardcover Nonfiction",3.7047
"Combined Print & E-Book Nonfiction",3.2038
"Paperback Mass-Market Fiction",2.7063
"Combined Hardcover & Paperback Fiction",2.3654
"Hardcover Fiction",2.0082
Manga,1.9181
"E-Book Fiction",1.8211
"Combined Print & E-Book Fiction",1.7883
"Young Adult E-Book",1.7442
