list_name,avg_weeks_in_list
"Middle Grade Paperback",30.6981
"Paperback Business Books",29.3261
"Games and Activities",28.8406
"Young Adult Paperback",22.3864
"Children’s Middle Grade Paperback",22.1622
"Paperback Advice & Misc.",19.9880
"Paperback Nonfiction",19.9218
Business,19.6471
"Food and Diet",19.0605
"Audio Nonfiction",17.6077
"Hardcover Business Books",17.4621
"Parenthood and Family",15.7131
"Race and Civil Rights",15.4565
Expeditions,15.2366
Science,15.2216
"Sports and Fitness",15.2080
"Fashion, Manners and Customs",14.9837
Espionage,14.7879
Education,14.6555
"Indigenous Americans",14.5313
"Politics and American History",14.5140
"Children’s Paperback Books",14.3476
"Love and Relationships",14.3445
"Graphic Books and Manga",14.3240
Humor,14.3214
"Religion, Spirituality and Faith",14.1746
"Children’s Middle Grade Hardcover",13.6735
"Children’s Middle Grade",13.4056
"Crime and Punishment",12.6884
"Children’s Picture Books",12.6091
"Audio Fiction",12.4271
"Paperback Trade Fiction",12.1289
"Paperback Graphic Books",11.9350
Animals,11.8931
"Young Adult",11.6579
Health,11.1475
Travel,11.1053
Celebrities,10.2807
"Hardcover Graphic Books",9.9249
"Children’s Chapter Books",9.6762
"Young Adult Hardcover",9.4551
Culture,8.4837
"Children’s & Young Adult Series",8.1453
"Hardcover Advice & Misc.",7.8024
"Combined Print Fiction",7.7000
"Combined Hardcover & Paperback Nonfiction",7.6864
"Mass Market",7.4812
"Advice, How-To & Miscellaneous",7.2540
"Children’s Middle Grade E-Book",6.8727
"Hardcover Nonfiction",6.7870
"E-Book Nonfiction",6.1304
"Combined Print & E-Book Nonfiction",5.6834
"Paperback Mass-Market Fiction",5.2792
"Hardcover Fiction",5.0298
"Combined Hardcover & Paperback Fiction",4.8976
Politics,4.8000
Manga,3.7981
"E-Book Fiction",3.4996
"Combined Print & E-Book Fiction",3.4359
"Young Adult E-Book",2.8088
"Children's Middle Grade Hardcover",2.0000
"Children's & Young Adult Series",1.6667
"Children's Picture Books",1.3333
