list_name,author,title,weeks,avg_rank
"Advice, How-To & Miscellaneous","MARK MANSON","THE SUBTLE ART OF NOT GIVING A F*CK",336,4.9702
Animals,"ALEXANDRA HOROWITZ","INSIDE OF A DOG",70,6.4143
"Audio Fiction","DELIA OWENS","WHERE THE CRAWDADS SING",191,4.3560
"Audio Nonfiction","MATTHEW MCCONAUGHEY",GREENLIGHTS,255,4.7059
Business,"DANIEL KAHNEMAN","THINKING, FAST AND SLOW",391,6.6138
Celebrities,"AMY POEHLER","YES PLEASE",44,3.3409
"Children's & Young Adult Series","J K ROWLING","HARRY POTTER",340,4.3441
"Children's Chapter Books","SUZANNE COLLINS","THE HUNGER GAMES",88,3.3750
"Children's Middle Grade","R J PALACIO",WONDER,136,1.4632
"Children's Middle Grade E-Book","R J PALACIO",WONDER,56,3.6786
"Children's Middle Grade Hardcover","R J PALACIO",WONDER,512,2.5625
"Children's Middle Grade Paperback","LINDA SUE PARK","A LONG WALK TO WATER",73,3.1233
"Children's Middle Grade Paperback","KATHERINE APPLEGATE","THE ONE AND ONLY",73,2.0685
"Children's Paperback Books","MARKUS ZUSAK","THE BOOK THIEF",206,2.2961
"Children's Picture Books","ADAM RUBIN","DRAGONS LOVE TACOS",486,5.3868
"Combined Hardcover & Paperback Fiction","GEORGE R R MARTIN","A GAME OF THRONES",90,16.0889
"Combined Hardcover & Paperback Nonfiction","LYNN VINCENT","HEAVEN IS FOR REAL",116,8.4224
"Combined Hardcover & Paperback Nonfiction","LAURA HILLENBRAND",UNBROKEN,116,8.0862
"Combined Hardcover & Paperback Nonfiction","TODD BURPO","HEAVEN IS FOR REAL",116,8.4224
"Combined Print & E-Book Fiction","COLLEEN HOOVER","IT ENDS WITH US",145,4.7034
"Combined Print & E-Book Nonfiction","BESSEL VAN DER KOLK","THE BODY KEEPS THE SCORE",263,5.9658
"Combined Print Fiction","BRAD MELTZER","THE INNER CIRCLE",7,10.0000
"Combined Print Fiction","CHARLES PORTIS","TRUE GRIT",7,17.0000
"Combined Print Fiction","SUSAN WIGGS","MARRYING DAISY BELLAMY",7,8.0000
"Combined Print Fiction","MICHAEL LEDWIDGE","TICK TOCK",7,1.0000
"Combined Print Fiction","JAMES PATTERSON","TICK TOCK",7,1.0000
"Combined Print Fiction","KATHRYN STOCKETT","THE HELP",7,9.0000
"Combined Print Fiction","STIEG LARSSON","THE GIRL WITH THE DRAGON TATTOO",7,2.0000
"Crime and Punishment","ERIK LARSON","THE DEVIL IN THE WHITE CITY",91,2.3407
Culture,"LIN-MANUEL MIRANDA","HAMILTON: THE REVOLUTION",39,1.1026
Culture,"JEREMY MCCARTER","HAMILTON: THE REVOLUTION",39,1.1026
"E-Book Fiction","GILLIAN FLYNN","GONE GIRL",134,9.8284
"E-Book Nonfiction","LAURA HILLENBRAND",UNBROKEN,237,7.5274
Education,"MALALA YOUSAFZAI","I AM MALALA",83,1.9880
Education,"CHRISTINA LAMB","I AM MALALA",83,1.9880
Espionage,"DON YAEGER","GEORGE WASHINGTON'S SECRET SIX",65,5.5538
Espionage,"BRIAN KILMEADE","GEORGE WASHINGTON'S SECRET SIX",65,5.5538
Expeditions,"JON KRAKAUER","INTO THE WILD",99,3.7273
"Fashion, Manners and Customs","ANNE BEREST, AUDREY DIWAN, CAROLINE DE MAIGRET","HOW TO BE PARISIAN WHEREVER YOU ARE",70,6.2143
"Fashion, Manners and Customs","SOPHIE MAS","HOW TO BE PARISIAN WHEREVER YOU ARE",70,6.2143
"Food and Diet","THE STAFF OF THUG KITCHEN","THUG KITCHEN",112,4.1518
"Games and Activities","WIZARDS RPG TEAM","PLAYER'S HANDBOOK",81,5.1111
"Graphic Books and Manga","DAV PILKEY","MOTHERING HEIGHTS",161,6.8261
"Hardcover Advice & Misc.","RANDY PAUSCH","THE LAST LECTURE",119,6.9328
"Hardcover Advice & Misc.","JEFFREY ZASLOW","THE LAST LECTURE",119,6.9328
"Hardcover Business Books","WALTER ISAACSON","STEVE JOBS",70,3.7000
"Hardcover Business Books","CHARLES DUHIGG","THE POWER OF HABIT",70,5.7143
"Hardcover Fiction","ANTHONY DOERR","ALL THE LIGHT WE CANNOT SEE",141,7.2837
"Hardcover Graphic Books","ALAN MOORE","BATMAN: THE KILLING JOKE",241,4.3776
"Hardcover Graphic Books","BRIAN BOLLAND","BATMAN: THE KILLING JOKE",241,4.3776
"Hardcover Nonfiction","LAURA HILLENBRAND",UNBROKEN,203,7.6108
Health,"J J SMITH","10-DAY GREEN SMOOTHIE CLEANSE",99,4.3636
Humor,"ADAM MANSBACH","GO THE -- TO SLEEP",104,6.2019
"Indigenous Americans","SC GWYNNE","EMPIRE OF THE SUMMER MOON",47,2.0000
"Love and Relationships","GARY CHAPMAN","THE FIVE LOVE LANGUAGES",95,1.6421
Manga,"HAJIME ISAYAMA","ATTACK ON TITAN, VOL. 1",129,5.3566
"Mass Market","JOHN GRISHAM","THE JUDGE'S LIST",39,6.6923
"Mass Market","JOHN GRISHAM","THE BOYS FROM BILOXI",39,9.2564
"Middle Grade Paperback","LINDA SUE PARK","A LONG WALK TO WATER",306,2.7386
"Paperback Advice & Misc.","SHARON MAZEL","WHAT TO EXPECT WHEN YOU'RE EXPECTING",220,3.2318
"Paperback Advice & Misc.","HEIDI MURKOFF","WHAT TO EXPECT WHEN YOU'RE EXPECTING",220,3.2318
"Paperback Business Books","MALCOLM GLADWELL",OUTLIERS,110,1.2182
"Paperback Business Books","STEPHEN J DUBNER",FREAKONOMICS,110,6.4364
"Paperback Business Books","STEVEN D LEVITT",FREAKONOMICS,110,6.4364
"Paperback Graphic Books","RAINA TELGEMEIER",SMILE,240,5.5000
"Paperback Mass-Market Fiction","GEORGE R R MARTIN","A GAME OF THRONES",239,8.4435
"Paperback Nonfiction","DANIEL KAHNEMAN","THINKING, FAST AND SLOW",499,10.3427
"Paperback Trade Fiction","RUPI KAUR","MILK AND HONEY",192,5.3229
"Parenthood and Family","ADAM MANSBACH","GO THE -- TO SLEEP",109,5.2202
Politics,"GEORGE W BUSH","DECISION POINTS",4,12.0000
Politics,"JOSHUA ROSNER","RECKLESS ENDANGERMENT",4,7.0000
Politics,"GRETCHEN MORGENSON","RECKLESS ENDANGERMENT",4,7.0000
Politics,"LAURA HILLENBRAND",UNBROKEN,4,3.0000
Politics,"ERIK LARSON","IN THE GARDEN OF BEASTS",4,1.0000
"Politics and American History","LAURA HILLENBRAND",UNBROKEN,133,4.3158
"Race and Civil Rights","MICHELLE ALEXANDER","THE NEW JIM CROW",108,2.5463
"Religion, Spirituality and Faith","DON MIGUEL RUIZ","THE FOUR AGREEMENTS",100,3.6200
Science,"DANIEL KAHNEMAN","THINKING, FAST AND SLOW",265,7.4302
"Sports and Fitness","DANIEL JAMES BROWN","THE BOYS IN THE BOAT",199,2.8040
Travel,"BRANDON STANTON","HUMANS OF NEW YORK",64,3.6250
Travel,"CHERYL STRAYED",WILD,64,4.4531
"Young Adult","JOHN GREEN","PAPER TOWNS",135,5.7852
"Young Adult E-Book","RICK YANCEY","THE 5TH WAVE",34,2.3824
"Young Adult Hardcover","KAREN M MCMANUS","ONE OF US IS LYING",267,4.0375
"Young Adult Paperback","MARKUS ZUSAK","THE BOOK THIEF",319,5.3197
